Column 1,Column 2,Column 3
4 habs.,124 m²,399.000 €
2 habs.,88 m²,156.090 €
2 habs.,88 m²,164.640 €
5 habs.,189 m²,590.000 €
2 habs.,111 m²,702.190 €
2 habs.,75 m²,292.600 €
2 habs.,84 m²,395.000 €
3 habs.,62 m²,105.000 €
3 habs.,100 m²,305.999 €
3 habs.,99 m²,92.000 €
3 habs.,128 m²,249.000 €
3 habs.,100 m²,129.000 €
3 habs.,80 m²,160.000 €
4 habs.,366 m²,707.995 €
3 habs.,100 m²,270.000 €
6 habs.,515 m²,750.000 €
3 habs.,122 m²,251.300 €
3 habs.,112 m²,199.000 €
3 habs.,80 m²,160.000 €
3 habs.,112 m²,190.000 €
2 habs.,107 m²,187.000 €
3 habs.,122 m²,251.300 €
4 habs.,111 m²,159.000 €
2 habs.,129 m²,338.000 €
2 habs.,87 m²,157.000 €
1 hab.,76 m²,228.000 €
3 habs.,95 m²,255.170 €
3 habs.,127 m²,268.000 €
2 habs.,79 m²,222.300 €
3 habs.,107 m²,240.000 €
3 habs.,96 m²,232.000 €
5 habs.,110 m²,199.620 €
4 habs.,145 m²,375.000 €
4 habs.,144 m²,570.000 €
3 habs.,90 m²,225.000 €
3 habs.,101 m²,190.000 €
2 habs.,85 m²,175.000 €
4 habs.,139 m²,474.000 €
3 habs.,102 m²,215.000 €
2 habs.,70 m²,115.000 €
4 habs.,125 m²,145.000 €
3 habs.,94 m²,265.000 €
3 habs.,60 m²,88.000 €
3 habs.,136 m²,360.000 €
6 habs.,527 m²,595.000 €
2 habs.,100 m²,212.000 €
3 habs.,69 m²,185.000 €
4 habs.,105 m²,322.900 €
2 habs.,70 m²,228.700 €
2 habs.,96 m²,200.000 €
2 habs.,58 m²,160.000 €
3 habs.,139 m²,273.000 €
2 habs.,129 m²,338.000 €
2 habs.,98 m²,212.400 €
3 habs.,139 m²,280.000 €
1 hab.,60 m²,147.900 €
4 habs.,110 m²,159.000 €
2 habs.,130 m²,344.000 €
4 habs.,140 m²,195.000 €
3 habs.,137 m²,438.800 €
2 habs.,71 m²,248.400 €
4 habs.,191 m²,390.900 €
3 habs.,80 m²,108.000 €
3 habs.,80 m²,165.000 €
2 habs.,75 m²,75.000 €
3 habs.,94 m²,175.000 €
2 habs.,73 m²,93.300 €
3 habs.,110 m²,215.000 €
3 habs.,79 m²,156.000 €
3 habs.,100 m²,99.000 €
4 habs.,130 m²,230.000 €
3 habs.,89 m²,230.000 €
4 habs.,142 m²,250.000 €
3 habs.,79 m²,149.500 €
3 habs.,92 m²,210.000 €
2 habs.,68 m²,167.000 €
2 habs.,80 m²,157.900 €
3 habs.,91 m²,168.000 €
3 habs.,85 m²,129.990 €
2 habs.,82 m²,178.000 €
3 habs.,90 m²,205.000 €
2 habs.,95 m²,174.999 €
3 habs.,100 m²,258.000 €
4 habs.,139 m²,474.000 €
3 habs.,90 m²,165.000 €
3 habs.,120 m²,325.000 €
3 habs.,90 m²,249.000 €
3 habs.,85 m²,155.000 €
2 habs.,82 m²,289.000 €
4 habs.,90 m²,159.900 €
1 hab.,55 m²,129.000 €
4 habs.,117 m²,229.000 €
3 habs.,113 m²,180.000 €
2 habs.,62 m²,117.500 €
4 habs.,107 m²,270.000 €
2 habs.,80 m²,220.000 €
4 habs.,111 m²,159.000 €
6 habs.,290 m²,690.000 €
4 habs.,120 m²,225.000 €
2 habs.,72 m²,188.000 €
2 habs.,70 m²,168.000 €
2 habs.,95 m²,360.000 €
3 habs.,101 m²,149.900 €
4 habs.,128 m²,230.000 €
2 habs.,63 m²,110.000 €
4 habs.,212 m²,675.000 €
3 habs.,187 m²,754.000 €
2 habs.,76 m²,140.000 €
3 habs.,100 m²,160.000 €
4 habs.,317 m²,150.000 €
2 habs.,100 m²,175.000 €
3 habs.,90 m²,190.000 €
3 habs.,170 m²,320.000 €
3 habs.,73 m²,65.000 €
4 habs.,105 m²,322.900 €
4 habs.,144 m²,570.000 €
1 hab.,60 m²,200.000 €
7 habs.,328 m²,300.000 €
2 habs.,85 m²,150.000 €
4 habs.,196 m²,500.000 €
3 habs.,102 m²,252.000 €
2 habs.,122 m²,850.000 €
3 habs.,115 m²,300.000 €
1 hab.,78 m²,79.000 €
2 habs.,100 m²,239.000 €
2 habs.,78 m²,140.000 €
2 habs.,80 m²,210.000 €
3 habs.,107 m²,300.000 €
2 habs.,66 m²,140.000 €
5 habs.,200 m²,450.000 €
3 habs.,150 m²,255.000 €
3 habs.,77 m²,146.000 €
5 habs.,150 m²,250.000 €
1 hab.,78 m²,133.290 €
2 habs.,91 m²,154.320 €
4 habs.,116 m²,210.000 €
4 habs.,100 m²,159.000 €
3 habs.,105 m²,355.000 €
4 habs.,203 m²,998.000 €
1 hab.,80 m²,275.000 €
3 habs.,83 m²,156.000 €
3 habs.,132 m²,425.000 €
4 habs.,210 m²,750.000 €
2 habs.,100 m²,196.000 €
2 habs.,96 m²,209.999 €
2 habs.,96 m²,200.000 €
3 habs.,80 m²,155.000 €
3 habs.,135 m²,279.000 €
3 habs.,135 m²,145.500 €
2 habs.,75 m²,195.000 €
1 hab.,178 m²,595.000 €
1 hab.,44 m²,95.000 €
4 habs.,150 m²,390.000 €
3 habs.,125 m²,270.000 €
4 habs.,131 m²,195.000 €
2 habs.,116 m²,272.000 €
1 hab.,56 m²,120.000 €
4 habs.,170 m²,820.000 €
1 hab.,59 m²,160.000 €
1 hab.,87 m²,270.000 €
2 habs.,93 m²,120.000 €
4 habs.,120 m²,395.000 €
4 habs.,135 m²,199.000 €
2 habs.,78 m²,140.000 €
2 habs.,108 m²,172.900 €
3 habs.,101 m²,165.000 €
4 habs.,125 m²,110.000 €
3 habs.,102 m²,310.000 €
3 habs.,69 m²,135.000 €
2 habs.,105 m²,360.000 €
2 habs.,77 m²,240.000 €
2 habs.,72 m²,151.200 €
4 habs.,127 m²,250.000 €
2 habs.,70 m²,123.000 €
2 habs.,104 m²,189.020 €
2 habs.,92 m²,320.000 €
3 habs.,139 m²,273.000 €
2 habs.,55 m²,160.000 €
2 habs.,108 m²,176.360 €
2 habs.,80 m²,136.000 €
2 habs.,145 m²,440.000 €
2 habs.,60 m²,240.000 €
2 habs.,94 m²,163.440 €
2 habs.,111 m²,148.800 €
3 habs.,100 m²,260.000 €
2 habs.,92 m²,154.890 €
3 habs.,102 m²,360.000 €
3 habs.,99 m²,135.000 €
3 habs.,167 m²,390.000 €